"student_id","name","course_name","semester_name","attendance_percentage","midterm","final","project","average_score"
6,"Anthony Craig","Course 2","Semester 3",54,37,45,45,"42.33"
6,"Anthony Craig","Course 5","Semester 3",66,94,57,50,"67.00"
6,"Anthony Craig","Course 8","Semester 3",71,62,64,84,"70.00"
7,"Jason Elliott","Course 4","Semester 1",75,54,63,76,"64.33"
7,"Jason Elliott","Course 5","Semester 1",92,78,76,76,"76.67"
7,"Jason Elliott","Course 9","Semester 1",90,83,59,66,"69.33"
7,"Jason Elliott","Course 2","Semester 2",87,70,52,70,"64.00"
7,"Jason Elliott","Course 3","Semester 2",78,67,77,83,"75.67"
7,"Jason Elliott","Course 7","Semester 2",41,30,31,43,"34.67"
7,"Jason Elliott","Course 9","Semester 2",80,66,69,73,"69.33"
7,"Jason Elliott","Course 10","Semester 3",66,54,69,53,"58.67"
7,"Jason Elliott","Course 3","Semester 3",46,37,36,41,"38.00"
7,"Jason Elliott","Course 5","Semester 3",50,32,48,33,"37.67"
7,"Jason Elliott","Course 8","Semester 3",81,94,98,99,"97.00"
8,"Megan Hampton","Course 10","Semester 1",49,38,30,31,"33.00"
8,"Megan Hampton","Course 3","Semester 1",98,55,99,83,"79.00"
8,"Megan Hampton","Course 7","Semester 1",97,53,75,92,"73.33"
8,"Megan Hampton","Course 10","Semester 2",86,94,93,60,"82.33"
8,"Megan Hampton","Course 2","Semester 2",94,99,71,60,"76.67"
8,"Megan Hampton","Course 5","Semester 2",100,99,79,99,"92.33"
8,"Megan Hampton","Course 9","Semester 2",69,99,50,60,"69.67"
8,"Megan Hampton","Course 1","Semester 3",84,68,100,90,"86.00"
8,"Megan Hampton","Course 8","Semester 3",82,73,66,80,"73.00"
9,"Dominic Cook","Course 5","Semester 1",67,89,88,83,"86.67"
9,"Dominic Cook","Course 9","Semester 1",71,82,58,64,"68.00"
9,"Dominic Cook","Course 10","Semester 2",62,69,89,98,"85.33"
9,"Dominic Cook","Course 3","Semester 2",76,97,61,83,"80.33"
9,"Dominic Cook","Course 6","Semester 2",94,89,86,100,"91.67"
9,"Dominic Cook","Course 7","Semester 2",88,100,75,81,"85.33"
9,"Dominic Cook","Course 2","Semester 3",88,69,57,77,"67.67"
9,"Dominic Cook","Course 6","Semester 3",65,53,52,63,"56.00"
9,"Dominic Cook","Course 8","Semester 3",79,67,87,57,"70.33"
10,"Kevin Hall","Course 3","Semester 1",86,80,85,95,"86.67"
10,"Kevin Hall","Course 5","Semester 1",74,73,69,99,"80.33"
10,"Kevin Hall","Course 6","Semester 1",88,92,67,85,"81.33"
10,"Kevin Hall","Course 7","Semester 1",88,70,58,99,"75.67"
10,"Kevin Hall","Course 10","Semester 2",88,70,57,70,"65.67"
10,"Kevin Hall","Course 6","Semester 2",88,64,99,95,"86.00"
10,"Kevin Hall","Course 8","Semester 2",84,56,99,72,"75.67"
10,"Kevin Hall","Course 1","Semester 3",75,56,95,68,"73.00"
10,"Kevin Hall","Course 3","Semester 3",67,59,100,80,"79.67"
10,"Kevin Hall","Course 9","Semester 3",66,98,94,72,"88.00"
11,"Justin Leonard","Course 10","Semester 1",38,38,44,42,"41.33"
11,"Justin Leonard","Course 5","Semester 1",76,63,82,64,"69.67"
11,"Justin Leonard","Course 6","Semester 1",90,84,78,71,"77.67"
11,"Justin Leonard","Course 9","Semester 1",96,86,80,75,"80.33"
11,"Justin Leonard","Course 2","Semester 2",36,30,49,48,"42.33"
11,"Justin Leonard","Course 7","Semester 2",88,57,59,63,"59.67"
11,"Justin Leonard","Course 8","Semester 2",73,51,87,69,"69.00"
11,"Justin Leonard","Course 10","Semester 3",96,77,81,69,"75.67"
11,"Justin Leonard","Course 2","Semester 3",43,46,33,41,"40.00"
11,"Justin Leonard","Course 6","Semester 3",33,39,46,37,"40.67"
11,"Justin Leonard","Course 9","Semester 3",85,93,71,83,"82.33"
12,"Matthew Allison","Course 10","Semester 1",66,90,78,69,"79.00"
12,"Matthew Allison","Course 4","Semester 1",61,100,83,95,"92.67"
12,"Matthew Allison","Course 6","Semester 1",99,67,56,81,"68.00"
12,"Matthew Allison","Course 3","Semester 2",87,82,61,85,"76.00"
12,"Matthew Allison","Course 7","Semester 2",96,100,56,66,"74.00"
12,"Matthew Allison","Course 1","Semester 3",61,76,99,72,"82.33"
12,"Matthew Allison","Course 4","Semester 3",78,50,67,80,"65.67"
12,"Matthew Allison","Course 6","Semester 3",68,36,46,30,"37.33"
12,"Matthew Allison","Course 8","Semester 3",88,53,63,99,"71.67"
12,"Matthew Allison","Course 9","Semester 3",75,97,57,53,"69.00"
13,"Michael Avila","Course 2","Semester 1",60,59,94,62,"71.67"
13,"Michael Avila","Course 5","Semester 1",95,72,62,68,"67.33"
13,"Michael Avila","Course 7","Semester 1",89,84,58,59,"67.00"
13,"Michael Avila","Course 8","Semester 1",70,56,95,54,"68.33"
13,"Michael Avila","Course 1","Semester 2",66,81,67,53,"67.00"
13,"Michael Avila","Course 4","Semester 2",73,49,41,42,"44.00"
13,"Michael Avila","Course 1","Semester 3",38,48,32,45,"41.67"
13,"Michael Avila","Course 10","Semester 3",54,37,43,43,"41.00"
13,"Michael Avila","Course 3","Semester 3",90,54,91,90,"78.33"
14,"Donna Torres","Course 4","Semester 1",96,63,70,94,"75.67"
14,"Donna Torres","Course 5","Semester 1",37,44,43,40,"42.33"
14,"Donna Torres","Course 6","Semester 1",87,95,76,74,"81.67"
14,"Donna Torres","Course 5","Semester 2",65,76,85,85,"82.00"
14,"Donna Torres","Course 7","Semester 2",60,80,64,97,"80.33"
14,"Donna Torres","Course 9","Semester 2",89,60,99,54,"71.00"
14,"Donna Torres","Course 10","Semester 3",86,69,73,62,"68.00"
14,"Donna Torres","Course 5","Semester 3",66,88,100,51,"79.67"
14,"Donna Torres","Course 7","Semester 3",95,87,92,95,"91.33"
14,"Donna Torres","Course 8","Semester 3",82,59,60,87,"68.67"
15,"Kimberly Hardin","Course 2","Semester 1",84,70,69,91,"76.67"
15,"Kimberly Hardin","Course 5","Semester 1",81,69,100,63,"77.33"
15,"Kimberly Hardin","Course 7","Semester 1",89,89,79,94,"87.33"
15,"Kimberly Hardin","Course 8","Semester 1",60,76,79,85,"80.00"
15,"Kimberly Hardin","Course 9","Semester 1",64,33,36,37,"35.33"
15,"Kimberly Hardin","Course 10","Semester 2",80,74,90,71,"78.33"
15,"Kimberly Hardin","Course 4","Semester 2",66,82,52,83,"72.33"
15,"Kimberly Hardin","Course 5","Semester 2",40,33,39,48,"40.00"
15,"Kimberly Hardin","Course 7","Semester 2",70,43,32,32,"35.67"
15,"Kimberly Hardin","Course 1","Semester 3",64,58,61,83,"67.33"
15,"Kimberly Hardin","Course 10","Semester 3",98,99,56,72,"75.67"
15,"Kimberly Hardin","Course 5","Semester 3",49,36,47,35,"39.33"
15,"Kimberly Hardin","Course 7","Semester 3",85,57,64,69,"63.33"
16,"Felicia Miller","Course 10","Semester 1",63,82,88,63,"77.67"
16,"Felicia Miller","Course 5","Semester 1",76,76,81,72,"76.33"
16,"Felicia Miller","Course 6","Semester 1",67,84,56,70,"70.00"
16,"Felicia Miller","Course 9","Semester 1",84,63,57,92,"70.67"
16,"Felicia Miller","Course 1","Semester 2",83,69,75,86,"76.67"
16,"Felicia Miller","Course 10","Semester 2",67,58,80,80,"72.67"
16,"Felicia Miller","Course 3","Semester 2",72,70,58,96,"74.67"
16,"Felicia Miller","Course 4","Semester 2",72,71,87,68,"75.33"
16,"Felicia Miller","Course 3","Semester 3",64,96,67,56,"73.00"
16,"Felicia Miller","Course 6","Semester 3",93,87,93,94,"91.33"
16,"Felicia Miller","Course 9","Semester 3",74,86,56,79,"73.67"
17,"Emily Shah","Course 3","Semester 1",70,77,63,52,"64.00"
17,"Emily Shah","Course 5","Semester 1",35,37,30,39,"35.33"
17,"Emily Shah","Course 8","Semester 1",67,89,86,97,"90.67"
17,"Emily Shah","Course 1","Semester 2",100,85,88,91,"88.00"
17,"Emily Shah","Course 10","Semester 2",87,84,62,64,"70.00"
17,"Emily Shah","Course 2","Semester 2",68,40,36,32,"36.00"
17,"Emily Shah","Course 6","Semester 2",94,91,75,64,"76.67"
17,"Emily Shah","Course 9","Semester 2",61,77,97,54,"76.00"
17,"Emily Shah","Course 1","Semester 3",72,75,67,73,"71.67"
17,"Emily Shah","Course 10","Semester 3",90,62,96,53,"70.33"
17,"Emily Shah","Course 5","Semester 3",72,100,51,60,"70.33"
17,"Emily Shah","Course 6","Semester 3",71,74,98,99,"90.33"
17,"Emily Shah","Course 9","Semester 3",93,64,69,52,"61.67"
18,"Melissa Baker","Course 3","Semester 1",64,55,72,69,"65.33"
18,"Melissa Baker","Course 4","Semester 1",71,36,38,44,"39.33"
18,"Melissa Baker","Course 6","Semester 1",65,75,50,57,"60.67"
18,"Melissa Baker","Course 9","Semester 1",68,81,72,77,"76.67"
18,"Melissa Baker","Course 4","Semester 2",73,77,63,78,"72.67"
18,"Melissa Baker","Course 6","Semester 2",81,70,94,76,"80.00"
18,"Melissa Baker","Course 7","Semester 2",98,90,64,71,"75.00"
18,"Melissa Baker","Course 9","Semester 2",76,50,87,77,"71.33"
18,"Melissa Baker","Course 1","Semester 3",77,74,90,71,"78.33"
18,"Melissa Baker","Course 2","Semester 3",95,72,72,66,"70.00"
18,"Melissa Baker","Course 7","Semester 3",100,58,84,51,"64.33"
19,"Jennifer Sawyer","Course 1","Semester 1",74,85,78,77,"80.00"
19,"Jennifer Sawyer","Course 2","Semester 1",81,92,93,90,"91.67"
19,"Jennifer Sawyer","Course 8","Semester 1",100,73,95,90,"86.00"
19,"Jennifer Sawyer","Course 9","Semester 1",71,87,51,92,"76.67"
19,"Jennifer Sawyer","Course 2","Semester 2",82,90,90,68,"82.67"
19,"Jennifer Sawyer","Course 3","Semester 2",71,75,80,81,"78.67"
19,"Jennifer Sawyer","Course 5","Semester 2",78,56,98,89,"81.00"
19,"Jennifer Sawyer","Course 6","Semester 2",61,77,84,61,"74.00"
19,"Jennifer Sawyer","Course 4","Semester 3",97,72,52,66,"63.33"
19,"Jennifer Sawyer","Course 5","Semester 3",88,75,64,97,"78.67"
19,"Jennifer Sawyer","Course 9","Semester 3",70,68,75,97,"80.00"
20,"Caleb Pope","Course 2","Semester 1",75,65,74,77,"72.00"
20,"Caleb Pope","Course 3","Semester 1",60,88,93,79,"86.67"
20,"Caleb Pope","Course 8","Semester 1",64,59,57,62,"59.33"
20,"Caleb Pope","Course 2","Semester 2",97,64,55,64,"61.00"
20,"Caleb Pope","Course 4","Semester 2",97,78,75,68,"73.67"
20,"Caleb Pope","Course 7","Semester 2",85,63,99,77,"79.67"
20,"Caleb Pope","Course 10","Semester 3",32,38,49,47,"44.67"
20,"Caleb Pope","Course 5","Semester 3",100,63,59,81,"67.67"
20,"Caleb Pope","Course 6","Semester 3",63,85,96,50,"77.00"
21,"Jasmin Moore","Course 2","Semester 1",74,95,59,80,"78.00"
21,"Jasmin Moore","Course 9","Semester 1",98,98,51,60,"69.67"
21,"Jasmin Moore","Course 3","Semester 2",76,82,62,56,"66.67"
21,"Jasmin Moore","Course 5","Semester 2",73,56,95,52,"67.67"
21,"Jasmin Moore","Course 8","Semester 2",64,84,52,82,"72.67"
21,"Jasmin Moore","Course 9","Semester 2",91,72,63,100,"78.33"
21,"Jasmin Moore","Course 3","Semester 3",97,62,75,91,"76.00"
21,"Jasmin Moore","Course 4","Semester 3",98,85,74,82,"80.33"
21,"Jasmin Moore","Course 8","Semester 3",51,37,33,33,"34.33"
21,"Jasmin Moore","Course 9","Semester 3",50,38,42,38,"39.33"
22,"Kenneth Lutz","Course 5","Semester 1",65,65,76,98,"79.67"
22,"Kenneth Lutz","Course 9","Semester 1",68,100,87,69,"85.33"
22,"Kenneth Lutz","Course 4","Semester 2",89,51,93,65,"69.67"
22,"Kenneth Lutz","Course 7","Semester 2",65,93,69,72,"78.00"
22,"Kenneth Lutz","Course 5","Semester 3",83,87,72,66,"75.00"
22,"Kenneth Lutz","Course 9","Semester 3",67,82,68,92,"80.67"
23,"Keith Hall","Course 4","Semester 1",92,60,69,80,"69.67"
23,"Keith Hall","Course 5","Semester 1",75,52,92,85,"76.33"
23,"Keith Hall","Course 8","Semester 1",66,80,64,98,"80.67"
23,"Keith Hall","Course 9","Semester 1",67,38,31,47,"38.67"
23,"Keith Hall","Course 1","Semester 2",47,39,40,48,"42.33"
23,"Keith Hall","Course 4","Semester 2",85,59,88,79,"75.33"
23,"Keith Hall","Course 7","Semester 2",71,79,64,70,"71.00"
23,"Keith Hall","Course 8","Semester 2",71,93,52,89,"78.00"
23,"Keith Hall","Course 2","Semester 3",93,71,82,95,"82.67"
23,"Keith Hall","Course 3","Semester 3",66,98,96,68,"87.33"
23,"Keith Hall","Course 5","Semester 3",85,96,74,93,"87.67"
23,"Keith Hall","Course 6","Semester 3",97,59,51,87,"65.67"
23,"Keith Hall","Course 8","Semester 3",89,95,92,72,"86.33"
24,"Toni Rodriguez","Course 2","Semester 1",75,67,100,87,"84.67"
24,"Toni Rodriguez","Course 7","Semester 1",90,87,59,97,"81.00"
24,"Toni Rodriguez","Course 8","Semester 1",94,82,70,78,"76.67"
24,"Toni Rodriguez","Course 10","Semester 2",94,78,69,59,"68.67"
24,"Toni Rodriguez","Course 7","Semester 2",82,53,73,76,"67.33"
24,"Toni Rodriguez","Course 8","Semester 2",85,65,68,95,"76.00"
24,"Toni Rodriguez","Course 7","Semester 3",76,80,70,55,"68.33"
24,"Toni Rodriguez","Course 8","Semester 3",50,36,37,39,"37.33"
24,"Toni Rodriguez","Course 9","Semester 3",67,72,50,79,"67.00"
25,"Steven Fleming","Course 10","Semester 1",100,65,62,63,"63.33"
25,"Steven Fleming","Course 7","Semester 1",75,91,80,84,"85.00"
25,"Steven Fleming","Course 8","Semester 1",91,71,71,85,"75.67"
25,"Steven Fleming","Course 9","Semester 1",32,42,34,44,"40.00"
25,"Steven Fleming","Course 4","Semester 2",96,54,67,52,"57.67"
25,"Steven Fleming","Course 7","Semester 2",72,77,66,94,"79.00"
25,"Steven Fleming","Course 1","Semester 3",70,88,69,56,"71.00"
25,"Steven Fleming","Course 6","Semester 3",32,47,44,49,"46.67"
25,"Steven Fleming","Course 7","Semester 3",90,65,74,98,"79.00"
25,"Steven Fleming","Course 9","Semester 3",96,95,60,54,"69.67"
26,"John Campbell","Course 4","Semester 1",67,74,71,59,"68.00"
26,"John Campbell","Course 6","Semester 1",79,100,100,73,"91.00"
26,"John Campbell","Course 9","Semester 1",98,81,71,59,"70.33"
26,"John Campbell","Course 10","Semester 2",85,58,96,68,"74.00"
26,"John Campbell","Course 2","Semester 2",55,35,35,33,"34.33"
26,"John Campbell","Course 1","Semester 3",34,49,44,36,"43.00"
26,"John Campbell","Course 10","Semester 3",86,98,70,68,"78.67"
26,"John Campbell","Course 2","Semester 3",60,94,56,58,"69.33"
26,"John Campbell","Course 4","Semester 3",51,47,44,40,"43.67"
26,"John Campbell","Course 7","Semester 3",43,35,33,32,"33.33"
27,"Jesse Hughes","Course 10","Semester 1",93,93,54,97,"81.33"
27,"Jesse Hughes","Course 4","Semester 1",72,95,87,78,"86.67"
27,"Jesse Hughes","Course 5","Semester 1",71,77,87,95,"86.33"
27,"Jesse Hughes","Course 1","Semester 2",100,75,66,53,"64.67"
27,"Jesse Hughes","Course 2","Semester 2",83,87,73,99,"86.33"
27,"Jesse Hughes","Course 3","Semester 2",90,85,83,94,"87.33"
27,"Jesse Hughes","Course 5","Semester 2",74,40,49,46,"45.00"
27,"Jesse Hughes","Course 9","Semester 2",97,100,84,96,"93.33"
27,"Jesse Hughes","Course 10","Semester 3",85,90,84,63,"79.00"
27,"Jesse Hughes","Course 3","Semester 3",78,99,76,67,"80.67"
27,"Jesse Hughes","Course 4","Semester 3",52,32,33,30,"31.67"
27,"Jesse Hughes","Course 8","Semester 3",86,62,72,94,"76.00"
28,"Sarah Howard","Course 10","Semester 1",87,70,90,58,"72.67"
28,"Sarah Howard","Course 2","Semester 1",42,40,43,47,"43.33"
28,"Sarah Howard","Course 3","Semester 1",90,81,50,90,"73.67"
28,"Sarah Howard","Course 5","Semester 1",33,48,39,38,"41.67"
28,"Sarah Howard","Course 4","Semester 2",46,33,40,37,"36.67"
28,"Sarah Howard","Course 6","Semester 2",87,77,85,61,"74.33"
28,"Sarah Howard","Course 7","Semester 2",81,83,68,95,"82.00"
28,"Sarah Howard","Course 9","Semester 2",67,93,73,55,"73.67"
28,"Sarah Howard","Course 2","Semester 3",88,68,59,63,"63.33"
28,"Sarah Howard","Course 7","Semester 3",61,81,56,98,"78.33"
28,"Sarah Howard","Course 8","Semester 3",89,76,89,52,"72.33"
28,"Sarah Howard","Course 9","Semester 3",66,84,55,61,"66.67"
29,"Jenny Patterson","Course 1","Semester 1",61,48,37,48,"44.33"
29,"Jenny Patterson","Course 2","Semester 1",54,31,47,37,"38.33"
29,"Jenny Patterson","Course 6","Semester 1",89,79,96,51,"75.33"
29,"Jenny Patterson","Course 7","Semester 1",66,30,32,38,"33.33"
29,"Jenny Patterson","Course 4","Semester 2",64,77,91,98,"88.67"
29,"Jenny Patterson","Course 9","Semester 2",79,91,53,66,"70.00"
29,"Jenny Patterson","Course 10","Semester 3",88,81,86,55,"74.00"
29,"Jenny Patterson","Course 8","Semester 3",92,67,87,71,"75.00"
29,"Jenny Patterson","Course 9","Semester 3",67,82,89,94,"88.33"
30,"Felicia Small","Course 1","Semester 1",66,69,95,63,"75.67"
30,"Felicia Small","Course 2","Semester 1",53,33,30,38,"33.67"
30,"Felicia Small","Course 5","Semester 1",88,90,85,72,"82.33"
30,"Felicia Small","Course 6","Semester 1",82,50,94,59,"67.67"
30,"Felicia Small","Course 4","Semester 2",32,41,49,45,"45.00"
30,"Felicia Small","Course 7","Semester 2",99,54,89,87,"76.67"
30,"Felicia Small","Course 9","Semester 2",85,83,62,85,"76.67"
30,"Felicia Small","Course 10","Semester 3",65,61,64,71,"65.33"
30,"Felicia Small","Course 5","Semester 3",93,67,52,68,"62.33"
30,"Felicia Small","Course 6","Semester 3",69,68,58,57,"61.00"
30,"Felicia Small","Course 8","Semester 3",42,38,34,48,"40.00"
31,"Jeff Young","Course 1","Semester 1",62,60,81,86,"75.67"
31,"Jeff Young","Course 5","Semester 1",90,66,72,76,"71.33"
31,"Jeff Young","Course 6","Semester 1",66,56,54,87,"65.67"
31,"Jeff Young","Course 8","Semester 1",79,68,79,50,"65.67"
31,"Jeff Young","Course 2","Semester 2",64,72,100,77,"83.00"
31,"Jeff Young","Course 8","Semester 2",100,54,61,64,"59.67"
31,"Jeff Young","Course 9","Semester 2",90,78,60,94,"77.33"
31,"Jeff Young","Course 2","Semester 3",62,90,75,99,"88.00"
31,"Jeff Young","Course 3","Semester 3",77,95,79,59,"77.67"
31,"Jeff Young","Course 7","Semester 3",69,81,81,51,"71.00"
31,"Jeff Young","Course 8","Semester 3",93,64,59,73,"65.33"
31,"Jeff Young","Course 9","Semester 3",92,81,82,60,"74.33"
32,"Ralph Hernandez","Course 3","Semester 1",67,84,88,79,"83.67"
32,"Ralph Hernandez","Course 7","Semester 1",85,89,61,79,"76.33"
32,"Ralph Hernandez","Course 8","Semester 1",68,45,48,49,"47.33"
32,"Ralph Hernandez","Course 6","Semester 2",63,44,30,44,"39.33"
32,"Ralph Hernandez","Course 7","Semester 2",75,71,77,91,"79.67"
32,"Ralph Hernandez","Course 9","Semester 2",94,82,87,100,"89.67"
32,"Ralph Hernandez","Course 3","Semester 3",52,31,40,36,"35.67"
32,"Ralph Hernandez","Course 4","Semester 3",88,93,62,63,"72.67"
32,"Ralph Hernandez","Course 6","Semester 3",63,75,51,70,"65.33"
33,"Barbara Smith","Course 4","Semester 1",84,96,68,59,"74.33"
33,"Barbara Smith","Course 6","Semester 1",81,71,75,53,"66.33"
33,"Barbara Smith","Course 2","Semester 2",90,69,76,65,"70.00"
33,"Barbara Smith","Course 3","Semester 2",45,33,33,30,"32.00"
33,"Barbara Smith","Course 4","Semester 2",83,76,82,51,"69.67"
33,"Barbara Smith","Course 6","Semester 2",67,53,66,81,"66.67"
33,"Barbara Smith","Course 8","Semester 2",73,95,75,81,"83.67"
33,"Barbara Smith","Course 3","Semester 3",76,75,70,92,"79.00"
33,"Barbara Smith","Course 5","Semester 3",84,81,54,66,"67.00"
33,"Barbara Smith","Course 6","Semester 3",100,97,69,83,"83.00"
34,"David Henderson","Course 1","Semester 1",96,85,54,98,"79.00"
34,"David Henderson","Course 3","Semester 1",80,94,71,97,"87.33"
34,"David Henderson","Course 6","Semester 1",84,87,52,61,"66.67"
34,"David Henderson","Course 8","Semester 1",92,62,91,78,"77.00"
34,"David Henderson","Course 1","Semester 2",79,92,69,68,"76.33"
34,"David Henderson","Course 10","Semester 2",61,77,59,96,"77.33"
34,"David Henderson","Course 3","Semester 2",91,89,95,66,"83.33"
34,"David Henderson","Course 5","Semester 2",87,87,86,90,"87.67"
34,"David Henderson","Course 9","Semester 2",58,39,44,41,"41.33"
34,"David Henderson","Course 1","Semester 3",75,46,46,48,"46.67"
34,"David Henderson","Course 5","Semester 3",61,77,78,64,"73.00"
34,"David Henderson","Course 7","Semester 3",69,53,97,57,"69.00"
35,"Elizabeth Choi","Course 10","Semester 1",91,90,93,54,"79.00"
35,"Elizabeth Choi","Course 4","Semester 1",98,56,72,71,"66.33"
35,"Elizabeth Choi","Course 5","Semester 1",93,54,68,88,"70.00"
35,"Elizabeth Choi","Course 8","Semester 1",73,82,79,58,"73.00"
35,"Elizabeth Choi","Course 9","Semester 1",86,85,53,76,"71.33"
35,"Elizabeth Choi","Course 1","Semester 2",65,58,99,74,"77.00"
35,"Elizabeth Choi","Course 5","Semester 2",86,70,58,57,"61.67"
35,"Elizabeth Choi","Course 8","Semester 2",90,73,86,64,"74.33"
35,"Elizabeth Choi","Course 9","Semester 2",100,74,97,64,"78.33"
35,"Elizabeth Choi","Course 10","Semester 3",92,89,86,71,"82.00"
35,"Elizabeth Choi","Course 2","Semester 3",73,100,90,88,"92.67"
35,"Elizabeth Choi","Course 3","Semester 3",63,81,61,76,"72.67"
35,"Elizabeth Choi","Course 7","Semester 3",65,80,83,73,"78.67"
36,"Jamie Orozco","Course 10","Semester 1",83,100,81,72,"84.33"
36,"Jamie Orozco","Course 4","Semester 1",38,45,38,37,"40.00"
36,"Jamie Orozco","Course 5","Semester 1",94,100,91,76,"89.00"
36,"Jamie Orozco","Course 6","Semester 1",97,81,63,70,"71.33"
36,"Jamie Orozco","Course 2","Semester 2",96,67,97,92,"85.33"
36,"Jamie Orozco","Course 3","Semester 2",63,61,83,51,"65.00"
36,"Jamie Orozco","Course 6","Semester 2",69,33,32,37,"34.00"
36,"Jamie Orozco","Course 8","Semester 2",75,84,93,83,"86.67"
36,"Jamie Orozco","Course 10","Semester 3",81,90,85,96,"90.33"
36,"Jamie Orozco","Course 2","Semester 3",71,99,77,87,"87.67"
36,"Jamie Orozco","Course 9","Semester 3",31,33,45,31,"36.33"
37,"Lisa Baker","Course 10","Semester 1",66,80,86,51,"72.33"
37,"Lisa Baker","Course 3","Semester 1",93,99,71,85,"85.00"
37,"Lisa Baker","Course 7","Semester 1",87,64,88,70,"74.00"
37,"Lisa Baker","Course 8","Semester 1",69,97,74,63,"78.00"
37,"Lisa Baker","Course 2","Semester 2",82,60,79,93,"77.33"
37,"Lisa Baker","Course 3","Semester 2",73,67,69,97,"77.67"
37,"Lisa Baker","Course 4","Semester 2",84,80,86,83,"83.00"
37,"Lisa Baker","Course 5","Semester 2",63,78,92,93,"87.67"
37,"Lisa Baker","Course 9","Semester 2",89,71,50,56,"59.00"
37,"Lisa Baker","Course 10","Semester 3",88,100,62,70,"77.33"
